,Artist,Title,Mix,BPM,Genre,Label,Year,Number of Artists,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,Artist_6
0,"2Pac, Chris Starr, T.I. ft. Snoop Dogg",Pac's Life,N/A,95,N/A,Interscope,2006,4,2Pac,Chris Starr,T.I.,Snoop Dogg,,
1,2Pac ft. Snoop Dogg,2 Of Americaz Most Wanted,N/A,99,Rock,Death Row/Interscope,2013,2,2Pac,Snoop Dogg,,,,
2,2 Pac w/ Snoop Doggy Dogg,2 Of Amerikkaz Most Wanted,N/A,99,Hip-Hop,Death Row/interscope Records,1996,2,2 Pac,Snoop Doggy Dogg,,,,
3,"40 Glocc ft. Sevin, E-40, Snoop Dogg, Too Short, & Xzibit",Welcome To California,Instrumental,81,N/A,Zoolife,2011,6,40 Glocc,Sevin,E-40,Snoop Dogg,Too Short,& Xzibit
4,"40 Glocc ft. Sevin, E-40, Snoop Dogg, Too Short, & Xzibit",Welcome To California,Clean Edit,81,Urban,Zoolife,2011,6,40 Glocc,Sevin,E-40,Snoop Dogg,Too Short,& Xzibit
5,"40 Glocc ft. Sevin, E-40, Snoop Dogg, Too Short, & Xzibit",Welcome To California,N/A,81,N/A,Zoolife,2011,6,40 Glocc,Sevin,E-40,Snoop Dogg,Too Short,& Xzibit
6,"40 Glocc ft. Sevin, E-40, Snoop Dogg, Too Short, & Xzibit",Welcome To California,(Explicit),82,N/A,Zoolife,2011,6,40 Glocc,Sevin,E-40,Snoop Dogg,Too Short,& Xzibit
7,50 Cent Feat. Snoop Dogg And Lloyd Banks & Young Buck of G-Unit,P.i.m.p.,Remix,85,N/A,Shady/aftermath/interscope Records,2003,4,50 Cent,Snoop Dogg,Lloyd Banks,Young Buck of G-Unit,,
8,50 Cent ft. Snoop Dogg & G-Unit,P.I.M.P.,Remix,85,N/A,Shady/Aftermath/Interscope,2007,3,50 Cent,Snoop Dogg,G-Unit,,,
9,50 Cent ft. Snoop Dogg & G-Unit,P.I.M.P.,N/A,85,Urban,Shady/Aftermath/Interscope,2007,3,50 Cent,Snoop Dogg,G-Unit,,,
10,50 Cent ft. Snoop Dogg & Young Jeezy,Major Distribution,N/A,88,Urban,Shady/Aftermath/Interscope,2013,3,50 Cent,Snoop Dogg,Young Jeezy,,,
11,50 Cent ft. Snoop Dogg & Young Jeezy,Major Distribution,(Explicit),88,N/A,Shady/Aftermath/Interscope,2013,3,50 Cent,Snoop Dogg,Young Jeezy,,,
12,Akon ft. Snoop Dogg,I Wanna Luv U,PO Clean Edit,100,N/A,SRC Universal,2006,2,Akon,Snoop Dogg,,,,
13,Akon ft. Snoop Dogg,I Wanna Luv U,N/A,100,N/A,SRC Street/Universal Records,2007,2,Akon,Snoop Dogg,,,,
